Module                  Size  Used by
int3400_thermal        20480  0
acpi_thermal_rel       16384  1 int3400_thermal
acpi_pad               36864  0
hp_wireless            16384  0
pcc_cpufreq            20480  0
hid_sensor_hub         24576  3 hid_sensor_trigger,hid_sensor_iio_common,hid_sensor_als
intel_ishtp_hid        28672  0
i915                 2121728  18
kvmgt                  32768  0
mdev                   24576  1 kvmgt
vfio                   36864  1 kvmgt
kvm                   741376  2 kvmgt,kvm_intel
irqbypass              16384  1 kvm
i2c_algo_bit           16384  1 i915
drm_kms_helper        204800  1 i915
drm                   495616  15 drm_kms_helper,i915
e1000e                282624  0
nvme                   40960  3
crc32c_intel           24576  7
nvme_core              86016  5 nvme
serio_raw              20480  0
intel_ish_ipc          28672  0
intel_ishtp            49152  2 intel_ishtp_hid,intel_ish_ipc
wmi                    32768  3 hp_wmi,intel_wmi_thunderbolt,wmi_bmof
i2c_hid                32768  0
video                  49152  1 i915
pinctrl_sunrisepoint    28672  1
pinctrl_intel          28672  1 pinctrl_sunrisepoint
